Namespace(annealing_epochs=1000, beta1=0.96, beta2=0.999, checkpoint_freq=500, clip_norm=10.0, cuda=False, iaf_dim=100, jit=False, learning_rate=0.0003, load_model='', load_opt='', log='dmm.log', lr_decay=0.99996, mini_batch_size=20, minimum_annealing_factor=0.2, num_epochs=5000, num_iafs=0, rnn_dropout_rate=0.1, save_model='Easiest', save_opt='', tmc=False, tmc_num_samples=10, tmcelbo=False, weight_decay=2.0)
N_train_data: 10     avg. training seq. length: 8.00    N_mini_batches: 1
[training epoch 0158]  0.9301 				(dt = 0.117 sec)
[training epoch 0159]  0.8780 				(dt = 0.105 sec)
[training epoch 0160]  0.9657 				(dt = 0.104 sec)
[training epoch 0161]  0.8729 				(dt = 0.118 sec)
[training epoch 0162]  0.9370 				(dt = 0.116 sec)
[training epoch 0163]  0.7576 				(dt = 0.102 sec)
[training epoch 0164]  0.8526 				(dt = 0.110 sec)
[training epoch 0165]  0.8729 				(dt = 0.110 sec)
[training epoch 0166]  0.9217 				(dt = 0.114 sec)
[training epoch 0167]  0.8812 				(dt = 0.105 sec)
[training epoch 0168]  0.8628 				(dt = 0.108 sec)
[training epoch 0169]  0.7306 				(dt = 0.109 sec)
[training epoch 0170]  0.8268 				(dt = 0.112 sec)
[training epoch 0171]  0.8062 				(dt = 0.118 sec)
[training epoch 0172]  0.6398 				(dt = 0.109 sec)
[training epoch 0173]  0.7317 				(dt = 0.105 sec)
[training epoch 0174]  0.8598 				(dt = 0.108 sec)
[training epoch 0175]  0.7111 				(dt = 0.101 sec)
[training epoch 0176]  0.7889 				(dt = 0.110 sec)
[training epoch 0177]  0.7925 				(dt = 0.113 sec)
[training epoch 0178]  0.8810 				(dt = 0.102 sec)
[training epoch 0179]  0.7622 				(dt = 0.097 sec)
[training epoch 0180]  0.6962 				(dt = 0.117 sec)
[training epoch 0181]  0.7890 				(dt = 0.110 sec)
[training epoch 0182]  0.7900 				(dt = 0.107 sec)
[training epoch 0183]  0.8000 				(dt = 0.113 sec)
[training epoch 0184]  0.6919 				(dt = 0.102 sec)
[training epoch 0185]  0.8476 				(dt = 0.102 sec)
[training epoch 0186]  0.7393 				(dt = 0.108 sec)
[training epoch 0187]  0.7348 				(dt = 0.098 sec)
[training epoch 0188]  0.7413 				(dt = 0.117 sec)
[training epoch 0189]  0.7339 				(dt = 0.107 sec)
[training epoch 0190]  0.6767 				(dt = 0.113 sec)
[training epoch 0191]  0.7683 				(dt = 0.111 sec)
[training epoch 0192]  0.7361 				(dt = 0.102 sec)
[training epoch 0193]  0.7870 				(dt = 0.103 sec)
[training epoch 0194]  0.7563 				(dt = 0.110 sec)
[training epoch 0195]  0.7027 				(dt = 0.104 sec)
[training epoch 0196]  0.6383 				(dt = 0.107 sec)
[training epoch 0197]  0.6344 				(dt = 0.116 sec)
[training epoch 0198]  0.5478 				(dt = 0.108 sec)
[training epoch 0199]  0.7658 				(dt = 0.112 sec)
[training epoch 0200]  0.5643 				(dt = 0.108 sec)
[val/test epoch 0200]  1.6781  2.1088
[training epoch 0201]  0.7013 				(dt = 0.188 sec)
[training epoch 0202]  0.6771 				(dt = 0.119 sec)
[training epoch 0203]  0.7495 				(dt = 0.110 sec)
[training epoch 0204]  0.6332 				(dt = 0.113 sec)
[training epoch 0205]  0.8101 				(dt = 0.097 sec)
[training epoch 0206]  0.6167 				(dt = 0.106 sec)
[training epoch 0207]  0.6328 				(dt = 0.111 sec)
[training epoch 0208]  0.6830 				(dt = 0.103 sec)
[training epoch 0209]  0.6986 				(dt = 0.113 sec)
[training epoch 0210]  0.5923 				(dt = 0.100 sec)
[training epoch 0211]  0.6599 				(dt = 0.097 sec)
[training epoch 0212]  0.6334 				(dt = 0.109 sec)
[training epoch 0213]  0.6344 				(dt = 0.109 sec)
[training epoch 0214]  0.5161 				(dt = 0.105 sec)
[training epoch 0215]  0.6816 				(dt = 0.112 sec)
[training epoch 0216]  0.6888 				(dt = 0.111 sec)
[training epoch 0217]  0.5157 				(dt = 0.111 sec)
[training epoch 0218]  0.6482 				(dt = 0.112 sec)
[training epoch 0219]  0.5682 				(dt = 0.128 sec)
[training epoch 0220]  0.6773 				(dt = 0.105 sec)
[training epoch 0221]  0.5423 				(dt = 0.107 sec)
[training epoch 0222]  0.6902 				(dt = 0.106 sec)
[training epoch 0223]  0.6382 				(dt = 0.096 sec)
[training epoch 0224]  0.6090 				(dt = 0.106 sec)
[training epoch 0225]  0.6008 				(dt = 0.129 sec)
[training epoch 0226]  0.6251 				(dt = 0.161 sec)
[training epoch 0227]  0.5311 				(dt = 0.155 sec)
[training epoch 0228]  0.6379 				(dt = 0.170 sec)
[training epoch 0229]  0.6773 				(dt = 0.156 sec)
[training epoch 0230]  0.6063 				(dt = 0.141 sec)
[training epoch 0231]  0.6826 				(dt = 0.108 sec)
[training epoch 0232]  0.6145 				(dt = 0.106 sec)
[training epoch 0233]  0.6712 				(dt = 0.144 sec)
[training epoch 0234]  0.6249 				(dt = 0.107 sec)
[training epoch 0235]  0.5891 				(dt = 0.155 sec)
[training epoch 0236]  0.5433 				(dt = 0.160 sec)
[training epoch 0237]  0.6310 				(dt = 0.241 sec)
[training epoch 0238]  0.7365 				(dt = 0.164 sec)
[training epoch 0239]  0.5831 				(dt = 0.141 sec)
[training epoch 0240]  0.6897 				(dt = 0.111 sec)
[training epoch 0241]  0.5375 				(dt = 0.103 sec)
[training epoch 0242]  0.5317 				(dt = 0.107 sec)
[training epoch 0243]  0.7103 				(dt = 0.110 sec)
[training epoch 0244]  0.6091 				(dt = 0.140 sec)
[training epoch 0245]  0.6720 				(dt = 0.103 sec)
[training epoch 0246]  0.8192 				(dt = 0.099 sec)
[training epoch 0247]  0.6791 				(dt = 0.106 sec)
[training epoch 0248]  0.5518 				(dt = 0.107 sec)
[training epoch 0249]  0.4207 				(dt = 0.103 sec)
[training epoch 0250]  0.4481 				(dt = 0.103 sec)
[val/test epoch 0250]  1.2491  1.1830
[training epoch 0251]  0.4718 				(dt = 0.174 sec)
[training epoch 0252]  0.6635 				(dt = 0.110 sec)
[training epoch 0253]  0.6642 				(dt = 0.148 sec)
[training epoch 0254]  0.5438 				(dt = 0.108 sec)
[training epoch 0255]  0.6121 				(dt = 0.103 sec)
[training epoch 0256]  0.5518 				(dt = 0.108 sec)
[training epoch 0257]  0.4709 				(dt = 0.106 sec)
[training epoch 0258]  0.4818 				(dt = 0.103 sec)
[training epoch 0259]  0.5886 				(dt = 0.102 sec)
[training epoch 0260]  0.4582 				(dt = 0.097 sec)
[training epoch 0261]  0.6047 				(dt = 0.103 sec)
[training epoch 0262]  0.5670 				(dt = 0.105 sec)
[training epoch 0263]  0.5518 				(dt = 0.110 sec)
[training epoch 0264]  0.6794 				(dt = 0.121 sec)
[training epoch 0265]  0.5320 				(dt = 0.110 sec)
[training epoch 0266]  0.6985 				(dt = 0.114 sec)
